,code,title,year,ratings_avg,nattions,genres
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,md76rkk,스파이더맨: 뉴 유니버스,2018.0,8.376914062601951,['미국'],"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']"
36,tPrzOrr,시맨틱 에러,2022.0,8.52872835273307,['한국'],"['로맨스', '드라마', 'BL', 'TV드라마']"
37,tRW0a6P,언내추럴,2018.0,8.618332106445731,['일본'],"['드라마', 'TV드라마']"
38,mLOP7lW,바람,2009.0,7.886674483468104,['한국'],"['드라마', '액션']"
39,mMO2JAO,메멘토,2000.0,8.160310850923484,['미국'],"['미스터리', '스릴러']"
40,mdRL4eL,기생충,2019.0,8.592880850803242,['한국'],['드라마']
41,mOo0PkN,너의 이름은.,2016.0,8.088119986980372,['일본'],"['애니메이션', '드라마', '로맨스']"
42,mdMBlkR,극한직업,2018.0,8.378736660461783,['한국'],['코미디']
43,m5DP0eR,헤어질 결심,2021.0,8.27887604981023,['한국'],"['로맨스', '드라마', '미스터리', '범죄', '스릴러']"
44,md76rkk,스파이더맨: 뉴 유니버스,2018.0,8.376914062601951,['미국'],"['애니메이션', '액션', '모험', '코미디', '가족', 'SF']"
45,tPrzOrr,시맨틱 에러,2022.0,8.52872835273307,['한국'],"['로맨스', '드라마', 'BL', 'TV드라마']"
46,tRW0a6P,언내추럴,2018.0,8.618332106445731,['일본'],"['드라마', 'TV드라마']"
47,mLOP7lW,바람,2009.0,7.886674483468104,['한국'],"['드라마', '액션']"
48,mMO2JAO,메멘토,2000.0,8.160310850923484,['미국'],"['미스터리', '스릴러']"
49,mdRL4eL,기생충,2019.0,8.592880850803242,['한국'],['드라마']
50,mOo0PkN,너의 이름은.,2016.0,8.088119986980372,['일본'],"['애니메이션', '드라마', '로맨스']"
51,mdMBlkR,극한직업,2018.0,8.378736660461783,['한국'],['코미디']
52,m5DP0eR,헤어질 결심,2021.0,8.27887604981023,['한국'],"['로맨스', '드라마', '미스터리', '범죄', '스릴러']"
53,mdRLwlv,컨택트,2016.0,7.928592266337357,['미국'],"['미스터리', 'SF', '스릴러', '드라마']"
54,mWJyZx5,백만엔걸 스즈코,2008.0,7.535778189229979,['일본'],['드라마']
55,tPJ1joR,바라카몬,2014.0,8.242929750052218,['일본'],"['애니메이션', '코미디']"
